epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,42682.4,1.07264,0.53999,1.03178,0.84345,0.83442,0.87414,0.55473,0.75577,0.48947,0.94018,0.001486,0.001486,0.001486
174,42929.5,1.05413,0.5315,1.03133,0.84436,0.83456,0.8741,0.55443,0.7556,0.48961,0.94017,0.0014365,0.0014365,0.0014365
175,43173.6,1.07045,0.53648,1.03588,0.84493,0.8332,0.87408,0.55471,0.75549,0.48952,0.94007,0.001387,0.001387,0.001387
176,43421.3,1.06871,0.54523,1.0422,0.84502,0.83319,0.87421,0.55433,0.7554,0.48976,0.93998,0.0013375,0.0013375,0.0013375
177,43671.7,1.06342,0.5315,1.03277,0.84451,0.83352,0.87416,0.55474,0.75508,0.48943,0.93994,0.001288,0.001288,0.001288
178,43916.2,1.06704,0.52895,1.03401,0.84385,0.83451,0.87394,0.55447,0.7549,0.48971,0.93988,0.0012385,0.0012385,0.0012385
179,44163.1,1.05308,0.52663,1.03182,0.84168,0.83641,0.87421,0.555,0.75486,0.49011,0.93987,0.001189,0.001189,0.001189
180,44416.4,1.05655,0.54059,1.03526,0.84173,0.8366,0.87448,0.55473,0.75477,0.4906,0.93986,0.0011395,0.0011395,0.0011395
181,44666.2,1.06031,0.52869,1.03249,0.84261,0.83662,0.87491,0.55492,0.75481,0.49055,0.93986,0.00109,0.00109,0.00109
182,44919.1,1.05772,0.52737,1.03105,0.84207,0.83645,0.87457,0.5552,0.75471,0.49062,0.93984,0.0010405,0.0010405,0.0010405
183,45176.1,1.06154,0.5339,1.03377,0.84271,0.83657,0.87417,0.55549,0.75456,0.49064,0.93975,0.000991,0.000991,0.000991
184,45431.5,1.06167,0.53272,1.0344,0.84338,0.83642,0.87442,0.55572,0.75433,0.49079,0.9397,0.0009415,0.0009415,0.0009415
185,45687.1,1.04566,0.52365,1.03297,0.84313,0.83655,0.87429,0.55562,0.75423,0.49079,0.93966,0.000892,0.000892,0.000892
186,45942.8,1.0509,0.52892,1.03561,0.84389,0.83675,0.8747,0.55571,0.75409,0.49088,0.93959,0.0008425,0.0008425,0.0008425
187,46197.3,1.06022,0.52629,1.03535,0.84366,0.83655,0.87444,0.55585,0.75399,0.49101,0.9395,0.000793,0.000793,0.000793
188,46452.7,1.06091,0.52681,1.02963,0.84463,0.83568,0.87421,0.55562,0.75396,0.49082,0.93939,0.0007435,0.0007435,0.0007435
189,46709.1,1.04887,0.53156,1.03143,0.8453,0.83599,0.87449,0.55616,0.75379,0.49111,0.9394,0.000694,0.000694,0.000694
190,46965,1.04494,0.52648,1.03123,0.84437,0.83752,0.87454,0.55605,0.75383,0.49112,0.9394,0.0006445,0.0006445,0.0006445
191,47226.7,1.05399,0.51905,1.06125,0.84482,0.83642,0.87438,0.5559,0.75366,0.49088,0.93943,0.000595,0.000595,0.000595
192,47477.6,1.04927,0.51455,1.05711,0.84384,0.83866,0.87468,0.55615,0.75355,0.49081,0.93935,0.0005455,0.0005455,0.0005455
193,47721.7,1.04424,0.51348,1.05033,0.84467,0.83817,0.87444,0.55606,0.75338,0.49085,0.93933,0.000496,0.000496,0.000496
194,47964.6,1.05178,0.51824,1.05664,0.84464,0.83764,0.87462,0.55596,0.75338,0.49105,0.93931,0.0004465,0.0004465,0.0004465
195,48213.3,1.03592,0.50711,1.05231,0.84505,0.83616,0.8746,0.55605,0.75354,0.49111,0.93935,0.000397,0.000397,0.000397
196,48456.7,1.04254,0.50907,1.05388,0.84535,0.83649,0.87481,0.55641,0.75339,0.49103,0.93935,0.0003475,0.0003475,0.0003475
197,48700.7,1.04479,0.51064,1.05275,0.84546,0.83713,0.87479,0.55607,0.75326,0.49091,0.93928,0.000298,0.000298,0.000298
198,48944.6,1.04291,0.51086,1.04712,0.84554,0.8374,0.87494,0.55589,0.75314,0.49122,0.93924,0.0002485,0.0002485,0.0002485
199,49188.6,1.03939,0.50761,1.05542,0.84524,0.83758,0.87486,0.55611,0.75314,0.49122,0.93917,0.000199,0.000199,0.000199
200,49430.6,1.03409,0.50843,1.04694,0.84554,0.83792,0.87486,0.55595,0.75311,0.49154,0.93918,0.0001495,0.0001495,0.0001495
